submission_time,todays_date,ward,hh_head_icf_language,num_houses,house_wall,house_wall_specify,house_roof,house_roof_specify,main_water_source,main_water_source_specify,toilet_type,main_lighting,main_lighting_other,household_possessions,own_cattle,num_hh_members,instanceID,KEY,wid,cluster,lng,lat
2023-07-26T09:32:25Z,2023-07-26,PONGWE KIKONENI,Swahili,2,mud,NA,iron,NA,Piped water outside the compound,NA,Traditional pit latrine,Kerosene lamp,NA,Cellphone,no,5,uuid:ad09d579-a8a9-4b88-b87e-cb9224e5bae0,uuid:ad09d579-a8a9-4b88-b87e-cb9224e5bae0,2601,11,-4.441354801013741,39.31203079282991
2023-07-26T09:32:24Z,2023-07-21,PONGWE KIKONENI,Swahili,2,mud,NA,iron,NA,Piped water outside the compound,NA,Traditional pit latrine,Solar panel,NA,Cellphone Radio Table,no,1,uuid:c1a14092-5cf8-44f9-a96e-8b708cca2888,uuid:c1a14092-5cf8-44f9-a96e-8b708cca2888,2601,11,-4.42876374804796,39.31312353495095
2023-07-21T11:23:06Z,2023-07-21,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Traditional pit latrine,Electricity,NA,Radio TV Cellphone Table,no,1,uuid:f8a4e718-12b0-4e37-8248-2487959fe35c,uuid:f8a4e718-12b0-4e37-8248-2487959fe35c,2512,49,-4.544790088380781,39.36678875962349
2023-07-21T11:23:05Z,2023-07-21,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Piped water inside the house,NA,Flush to pit latrine,Electricity,NA,Radio TV Cellphone Table,no,3,uuid:a3739bb6-aea1-4666-802b-05e6f81e8d62,uuid:a3739bb6-aea1-4666-802b-05e6f81e8d62,2512,49,-4.537893810791694,39.36938585428791
2023-07-21T11:07:03Z,2023-07-21,PONGWE KIKONENI,Swahili,1,blocks_cement,NA,iron,NA,Piped water outside the compound,NA,Flush to piped sewer system,Electricity,NA,Radio TV Cellphone Table,no,2,uuid:65ae4112-948d-4c69-af95-d98a7d65ab04,uuid:65ae4112-948d-4c69-af95-d98a7d65ab04,2519,51,-4.544406127916515,39.37087397060425
2023-07-21T11:07:02Z,2023-07-21,PONGWE KIKONENI,Swahili,2,mud,NA,palm,NA,Piped water outside the compound,NA,"None (bush, field)",Electricity,NA,Radio Cellphone Table,no,4,uuid:fa2140bc-b1f6-47e7-ad99-43b2cb4da455,uuid:fa2140bc-b1f6-47e7-ad99-43b2cb4da455,2519,51,-4.548205672833652,39.37083723315939
2023-07-21T10:31:24Z,2023-07-21,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Piped water outside the compound,NA,Traditional pit latrine,Firewood,NA,Cellphone,no,2,uuid:43feef1a-0861-476d-91ce-cd25baf4500b,uuid:43feef1a-0861-476d-91ce-cd25baf4500b,2548,45,-4.509573727587414,39.31354608460591
2023-07-21T10:06:54Z,2023-07-21,PONGWE KIKONENI,Swahili,1,mud,NA,iron,NA,Piped water outside the compound,NA,Traditional pit latrine,Solar panel,NA,Cellphone Table,no,5,uuid:f5ed6099-a59b-4ffd-a64d-15fcdfa883f2,uuid:f5ed6099-a59b-4ffd-a64d-15fcdfa883f2,2543,31,-4.493576579419581,39.33994150591699
2023-07-21T09:54:51Z,2023-07-21,PONGWE KIKONENI,Swahili,1,mud,NA,palm,NA,Piped water outside the compound,NA,Traditional pit latrine,Solar panel,NA,Radio Cellphone Table Cupboard,no,2,uuid:77697e2e-c08f-4e54-9e37-490057d9ce84,uuid:77697e2e-c08f-4e54-9e37-490057d9ce84,2541,21,-4.48322310682796,39.34607852440304
2023-07-21T09:40:29Z,2023-07-21,PONGWE KIKONENI,NA,1,blocks_cement,NA,iron,NA,Open well outside the compound,NA,Flush to pit latrine,Electricity,NA,Cellphone,no,3,uuid:6796e2f2-4365-4a94-8228-1868426fe6c3,uuid:6796e2f2-4365-4a94-8228-1868426fe6c3,2455,88,-4.636708612335847,39.37975710015929
