item,year,price
Bread - Retail,2006,26
Bread - Retail,2006,26
Bread - Retail,2006,26
Bread - Retail,2006,26
Bread - Retail,2006,26
Bread - Retail,2006,26
Bread - Retail,2006,26
Bread - Retail,2006,26
Bread - Retail,2006,26
Bread - Retail,2006,26
Bread - Retail,2006,27
Bread - Retail,2006,27
Bread - Retail,2007,27
Bread - Retail,2007,27
Bread - Retail,2007,27
Bread - Retail,2007,27
Bread - Retail,2007,27
Bread - Retail,2007,27
Bread - Retail,2007,28
Bread - Retail,2007,28
Bread - Retail,2007,29
Bread - Retail,2007,30
Bread - Retail,2007,31
Bread - Retail,2007,32
Bread - Retail,2008,33
Bread - Retail,2008,33
Bread - Retail,2008,33
Bread - Retail,2008,33
Bread - Retail,2008,33
Bread - Retail,2008,33
Bread - Retail,2008,33
Bread - Retail,2008,33
Bread - Retail,2008,34
Bread - Retail,2008,34
Bread - Retail,2008,34
Bread - Retail,2008,34
Bread - Retail,2009,34
Bread - Retail,2009,34
Bread - Retail,2009,34
Bread - Retail,2009,34
Bread - Retail,2009,35
Bread - Retail,2009,34
Bread - Retail,2009,34
Bread - Retail,2009,33
Bread - Retail,2009,33
Bread - Retail,2009,34
Bread - Retail,2009,34
Bread - Retail,2009,34
Bread - Retail,2010,34
Bread - Retail,2010,34
Bread - Retail,2010,34
Bread - Retail,2010,35
Bread - Retail,2010,31
Bread - Retail,2010,33
Bread - Retail,2010,34
Bread - Retail,2010,38
Bread - Retail,2010,38
Bread - Retail,2010,38
Bread - Retail,2010,38
Bread - Retail,2010,39
Bread - Retail,2011,38
Bread - Retail,2011,38
Bread - Retail,2011,40
Bread - Retail,2011,40
Bread - Retail,2011,40
Bread - Retail,2011,40
Bread - Retail,2011,41
Bread - Retail,2011,40
Bread - Retail,2011,40
Bread - Retail,2011,40
Bread - Retail,2011,41
Bread - Retail,2011,40
Bread - Retail,2012,43
Bread - Retail,2012,43
Bread - Retail,2012,45
Bread - Retail,2012,48
Bread - Retail,2012,48
Bread - Retail,2012,45
Bread - Retail,2012,43
Bread - Retail,2012,43
Bread - Retail,2012,40
Bread - Retail,2012,40
Bread - Retail,2012,38
Bread - Retail,2012,36
Bread - Retail,2013,43
Bread - Retail,2013,46
Bread - Retail,2013,46
Bread - Retail,2013,44
Bread - Retail,2013,45
Bread - Retail,2013,44
Bread - Retail,2013,45
Bread - Retail,2013,46
Bread - Retail,2013,48
Bread - Retail,2013,50
Bread - Retail,2013,50
Bread - Retail,2013,47
Bread - Retail,2014,49.5
Bread - Retail,2014,48.33
Bread - Retail,2014,47.75
Bread - Retail,2014,45
Bread - Retail,2014,48.75
Bread - Retail,2014,46.88
Bread - Retail,2014,45
Bread - Retail,2014,44
Bread - Retail,2014,47
Bread - Retail,2014,50
Bread - Retail,2014,50
Bread - Retail,2014,50
Bread - Retail,2015,48
Bread - Retail,2015,48
Bread - Retail,2015,50
Bread - Retail,2015,50
Bread - Retail,2015,50
Bread - Retail,2015,50
Bread - Retail,2015,50
Bread - Retail,2015,50
Bread - Retail,2015,50
Bread - Retail,2015,50
Bread - Retail,2015,50
Bread - Retail,2015,50
Bread - Retail,2016,50
Bread - Retail,2016,52
Bread - Retail,2016,50
Bread - Retail,2016,48
Bread - Retail,2016,48
Bread - Retail,2016,50
Bread - Retail,2016,50
Bread - Retail,2016,46
Bread - Retail,2016,45
Bread - Retail,2016,45
Bread - Retail,2016,45
Bread - Retail,2017,50
Bread - Retail,2017,50
Bread - Retail,2017,50
Bread - Retail,2017,45
Bread - Retail,2017,45
Bread - Retail,2017,45
Bread - Retail,2017,45
Bread - Retail,2017,44
Bread - Retail,2017,44
Bread - Retail,2017,44
Bread - Retail,2017,44
Bread - Retail,2018,44
Bread - Retail,2018,45
Bread - Retail,2018,45
Bread - Retail,2018,44
Bread - Retail,2018,44
Bread - Retail,2018,44
Oil (vegetable) - Retail,2006,115
Oil (vegetable) - Retail,2006,120
Oil (vegetable) - Retail,2006,108
Oil (vegetable) - Retail,2006,110
Oil (vegetable) - Retail,2006,120
Oil (vegetable) - Retail,2006,120
Oil (vegetable) - Retail,2006,115
Oil (vegetable) - Retail,2006,120
Oil (vegetable) - Retail,2006,120
Oil (vegetable) - Retail,2006,120
Oil (vegetable) - Retail,2006,135
Oil (vegetable) - Retail,2006,140
Oil (vegetable) - Retail,2007,130
Oil (vegetable) - Retail,2007,135
Oil (vegetable) - Retail,2007,135
Oil (vegetable) - Retail,2007,130
Oil (vegetable) - Retail,2007,130
Oil (vegetable) - Retail,2007,125
Oil (vegetable) - Retail,2007,140
Oil (vegetable) - Retail,2007,140
Oil (vegetable) - Retail,2007,135
Oil (vegetable) - Retail,2007,135
Oil (vegetable) - Retail,2007,135
Oil (vegetable) - Retail,2007,145
Oil (vegetable) - Retail,2008,162
Oil (vegetable) - Retail,2008,165
Oil (vegetable) - Retail,2008,173
Oil (vegetable) - Retail,2008,175
Oil (vegetable) - Retail,2008,177
Oil (vegetable) - Retail,2008,180
Oil (vegetable) - Retail,2008,183
Oil (vegetable) - Retail,2008,183
Oil (vegetable) - Retail,2008,183
Oil (vegetable) - Retail,2008,181
Oil (vegetable) - Retail,2008,182
Oil (vegetable) - Retail,2008,180
Oil (vegetable) - Retail,2009,180
Oil (vegetable) - Retail,2009,127
Oil (vegetable) - Retail,2009,127
Oil (vegetable) - Retail,2009,126
Oil (vegetable) - Retail,2009,126
Oil (vegetable) - Retail,2009,126
Oil (vegetable) - Retail,2009,126
Oil (vegetable) - Retail,2009,133
Oil (vegetable) - Retail,2009,139
Oil (vegetable) - Retail,2009,140
Oil (vegetable) - Retail,2009,140
Oil (vegetable) - Retail,2009,140
Oil (vegetable) - Retail,2010,135
Oil (vegetable) - Retail,2010,135
Oil (vegetable) - Retail,2010,137
Oil (vegetable) - Retail,2010,140
Oil (vegetable) - Retail,2010,138
Oil (vegetable) - Retail,2010,156
Oil (vegetable) - Retail,2010,154
Oil (vegetable) - Retail,2010,154
Oil (vegetable) - Retail,2010,160
Oil (vegetable) - Retail,2010,182
Oil (vegetable) - Retail,2010,187
Oil (vegetable) - Retail,2010,192
Oil (vegetable) - Retail,2011,196
Oil (vegetable) - Retail,2011,210
